"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,score_symptoms_combined,total_raw_score,symptom_awareness_score,awareness_score,awareness_category,awareness_specialist,awareness_know_stroke,awareness_action_first_symptom,awareness_symptom_checklist,awareness_first_contact,awareness_urgency,awareness_location,awareness_risk_factors,awareness_advice
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,1,1,1,0,1,0,2,3,3,4,0,21,72,8.4,6.21,Moderate Awareness,Moderate Awareness,High Awareness,Moderate Awareness,High Awareness,Low Awareness,High Awareness,Moderate Awareness,High Awareness,Low Awareness
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,not_specified,emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",keep_the_person_calm,2,1,2,1,1,0,1,4,2,3,3,4,0,21,95,8.4,8.19,Moderate Awareness,Moderate Awareness,High Awareness,High Awareness,High Awareness,High Awareness,High Awareness,Moderate Awareness,High Awareness,Low Awareness
Physician,No,Other,no,no,no,no,15-25,Male,high school,"2,00,001 - 4,00,000",family/friend,immediately,hospital_or_medical_centre,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,2,3,0,0,0,4,35,1.6,3.02,Low Awareness,Moderate Awareness,Low Awareness,Low Awareness,Low Awareness,Low Awareness,High Awareness,Moderate Awareness,Low Awareness,Low Awareness
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",hospital,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",no_response,4,1,1,1,1,0,1,3,2,3,3,3,0,21,90,8.4,7.76,Moderate Awareness,High Awareness,High Awareness,Moderate Awareness,High Awareness,Moderate Awareness,High Awareness,Moderate Awareness,High Awareness,Low Awareness
Orthopedic,Maybe,Other,no,no,no,no,26-40,Female,graduate,"2,00,001 - 4,00,000",hospital,immediately,hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,2,0,3,2,3,0,0,0,4,44,1.6,3.79,Low Awareness,Low Awareness,Low Awareness,Low Awareness,Low Awareness,Moderate Awareness,High Awareness,Moderate Awareness,Low Awareness,Low Awareness
Physician,Yes,Within a day,yes,maybe,maybe,maybe,41-60,Female,high school,not_specified,family/friend,immediately,other,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",call_emergency_services,2,1,1,1,0,1,0,0,2,0,3,3,3,16,55,6.4,4.74,Low Awareness,Moderate Awareness,High Awareness,Moderate Awareness,Moderate Awareness,Low Awareness,High Awareness,Low Awareness,High Awareness,High Awareness
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,graduate,"2,00,001 - 4,00,000",emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",keep_the_person_calm,2,1,2,1,1,0,1,4,2,3,3,3,0,21,92,8.4,7.93,Moderate Awareness,Moderate Awareness,High Awareness,High Awareness,High Awareness,High Awareness,High Awareness,Moderate Awareness,High Awareness,Low Awareness
Physician,Yes,Immediately,maybe,yes,yes,yes,60+,Female,high school,not_specified,family/friend,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",avoid_food_or_drink_sleep,2,1,2,0,1,0,1,0,2,3,3,3,0,16,67,6.4,5.78,Low Awareness,Moderate Awareness,High Awareness,High Awareness,Moderate Awareness,Low Awareness,High Awareness,Moderate Awareness,High Awareness,Low Awareness
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,yes,yes,yes,maybe,26-40,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,1,1,1,0,0,0,0,0,0,0,0,10,13,4.0,1.12,Low Awareness,Low Awareness,Low Awareness,Moderate Awareness,Low Awareness,Low Awareness,Low Awareness,Low Awareness,Low Awareness,Low Awareness
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,no,no,no,41-60,Male,graduate,"4,00,001 - 6,00,000",family/friend,immediately,other,"speech_or_confusion,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",seek_medical_help,0,1,1,1,0,2,0,0,2,0,2,3,0,15,42,6.0,3.62,Low Awareness,Low Awareness,High Awareness,Moderate Awareness,Moderate Awareness,Low Awareness,High Awareness,Low Awareness,High Awareness,Low Awareness
