"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score
Physician,Yes,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Immediate,Other,Paralysis / Weakness,Smoking / Alcohol / Drugs,No response,0,1,0,0,0,1,0,0,7,1.11
Physician,No,I would not consult a specialist,no,yes,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,1,0,2,0,0,9,1.43
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,yes,yes,yes,yes,60+,Male,graduate,"Above 8,00,000",Doctor,Immediate,Doctor /Specialist,,Other,Seek Medical Help,2,0,1,1,1,0,0,0,18,2.86
Physician,No,Within a week,no,no,maybe,no,15-25,Male,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Immediately,no,no,no,no,15-25,Female,graduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,1,0,0,0,2,0,0,9,1.43
Physician,No,I would not consult a specialist,no,no,no,no,15-25,Male,graduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Within a week,yes,yes,maybe,yes,41-60,Male,graduate,"Above 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,,Other,Seek Medical Help,0,1,1,1,1,1,0,3,34,5.4
Orthopedic,Maybe,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,speciality,"2,00,001 - 4,00,000",Unknown,Immediate,Doctor /Specialist,,Unaware,No response,4,1,1,1,1,0,0,0,29,4.6
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,41-60,Male,high school,"Above 8,00,000",Family/Friend,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Call Emergency Services,2,1,0,0,0,1,0,0,13,2.06
Physician,No,Immediately,yes,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,1,0,0,2,0,0,9,1.43
Physician,Yes,Within a day,yes,maybe,maybe,maybe,15-25,Female,high school,"6,00,001 - 8,00,000",Family/Friend,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,0,1,1,0,0,1,0,0,12,1.9
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Family/Friend,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,4,1,1,1,1,0,0,3,44,6.98
No Response,Yes,Within a day,yes,no,no,no,15-25,Male,high school,"Above 8,00,000",Family/Friend,Immediate,Other,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Seek Medical Help,0,1,1,0,0,2,0,0,14,2.22
Physician,No,Within a day,maybe,maybe,maybe,no,41-60,Female,graduate,"6,00,001 - 8,00,000",Family/Friend,Immediate,Doctor /Specialist,,Unaware,Seek Medical Help,0,0,0,0,0,1,0,0,2,0.32
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,41-60,Male,graduate,"6,00,001 - 8,00,000",Unknown,after few days (2-3days or week),Doctor /Specialist,Dizziness,Diabetes / Obesity,No response,4,1,0,0,0,1,0,0,19,3.02
Neurologist,No,Within a day,no,no,maybe,no,15-25,Male,high school,Not Specified,Family/Friend,after few days (2-3days or week),Unknown /No Response,Unaware,Unaware,other,4,0,0,0,0,1,0,0,14,2.22
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Doctor,After Checkup  or medical tests,Hospital /Medical Centre,"Paralysis / Weakness, Dizziness",Diabetes / Obesity,Seek Medical Help,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a week,no,no,no,no,26-40,Female,graduate,Not Specified,Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Seek Medical Help,0,0,0,0,0,2,0,3,19,3.02
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,graduate,Not Specified,Doctor,After Checkup  or medical tests,Doctor /Specialist,"Speech / Confusion, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Seek Medical Help,4,1,1,1,1,0,0,0,29,4.6
Neurologist,No,Within a day,no,no,no,no,26-40,Female,other,Not Specified,Family/Friend,Unaware,Unknown /No Response,Unaware,Unaware,Unaware / No Idea,4,0,0,0,0,2,0,0,16,2.54
Neurologist,Yes,Within a week,yes,yes,yes,yes,15-25,Male,undergraduate,Not Specified,Hospital,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,4,1,1,1,1,0,0,3,44,6.98
Neurologist,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,Not Specified,Family/Friend,After Checkup  or medical tests,Hospital /Medical Centre,Unaware,Unaware,No response,4,0,0,0,0,1,0,3,29,4.6
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a week,yes,maybe,yes,maybe,41-60,Male,graduate,"Above 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,2,1,1,0,0,0,0,3,31,4.92
